# SPT ID	RA	DEC	S/N (2.0mm)	S_raw (2.0mm) [mJy]	S_best (2.0mm) [mJy]	dS_up (2.0mm) [mJy]	dS_down (2.0mm) [mJy]	S/N (1.4mm)	S_raw (1.4mm) [mJy]	S_best (1.4mm) [mJy]	dS_up (1.4mm) [mJy]	dS_down (1.4mm) [mJy]	alpha_raw	alpha_best	d_alpha_up	d_alpha_down	P(alpha>1)	Type	dR_SUMSS [arcsec]	dR_RASS [arcsec]	dR_IRAS [arcsec]
SPT-S_J045908-5857.1	  74.787	 -58.953	   0.25	   0.30	   0.45	   0.65	   0.28	   3.61	  11.58	   0.75	   0.98	   0.41	   9.9	   1.9	   2.2	   2.7	   0.53	dust	 352	 636	 281
SPT-S_J045909-5919.2	  74.791	 -59.321	   0.00	  -1.41	   0.28	   0.39	   0.17	   3.21	  10.28	   0.57	   0.71	   0.29	   NaN	   2.5	   1.8	   2.6	   0.63	dust	 293	 801	 738
SPT-S_J045911-5844.1	  74.796	 -58.737	   0.00	  -0.11	   0.37	   0.54	   0.23	   3.20	  10.24	   0.66	   0.83	   0.36	   NaN	   2.0	   2.1	   2.7	   0.55	dust	 291	1235	 347
SPT-S_J045911-5722.1	  74.798	 -57.370	   0.72	   0.87	   0.54	   0.78	   0.37	   3.40	  10.89	   0.81	   1.00	   0.45	   6.9	   1.5	   2.4	   2.7	   0.48	sync	 170	 231	 430
SPT-S_J045913-5942.4	  74.804	 -59.708	   6.20	   7.51	   7.26	   1.27	   1.27	   7.05	  22.58	  20.85	   3.90	   4.02	   3.0	   2.9	   0.7	   0.7	   0.95	dust	  43	 575	 815
SPT-S_J045913-5537.5	  74.805	 -55.627	   0.68	   0.86	   0.50	   0.78	   0.33	   3.10	  10.36	   0.75	   0.89	   0.41	   6.8	   1.4	   2.4	   2.6	   0.47	sync	 213	 259	1321
SPT-S_J045913-5826.5	  74.806	 -58.443	   0.00	  -1.27	   0.28	   0.39	   0.18	   3.24	  10.37	   0.59	   0.72	   0.31	   NaN	   2.5	   1.8	   2.6	   0.63	dust	  64	2138	 727
SPT-S_J045914-5810.2	  74.811	 -58.170	   0.00	  -0.46	   0.34	   0.49	   0.22	   3.27	  10.48	   0.64	   0.81	   0.33	   NaN	   2.2	   2.0	   2.7	   0.58	dust	 591	1375	 588
SPT-S_J045915-5748.6	  74.815	 -57.811	   2.01	   2.44	   1.23	   1.26	   0.86	   3.34	  10.71	   1.17	   1.26	   0.66	   4.0	   0.1	   2.8	   2.1	   0.29	sync	 419	 247	  95
SPT-S_J045918-5943.8	  74.829	 -59.731	   3.07	   3.71	   0.27	   0.32	   0.14	   0.00	  -2.35	   0.36	   0.68	   0.24	   NaN	   0.4	   2.8	   2.4	   0.34	sync	  79	 596	 730
SPT-S_J045920-5355.5	  74.834	 -53.926	   4.30	   5.40	   1.03	   3.61	   0.78	   1.02	   3.42	   1.66	   2.50	   1.36	  -1.2	   0.2	   2.9	   2.1	   0.29	sync	 271	 599	 154
SPT-S_J045920-5952.7	  74.834	 -59.879	   1.33	   1.61	   0.77	   1.02	   0.53	   3.52	  11.28	   0.96	   1.18	   0.55	   5.3	   0.9	   2.6	   2.5	   0.40	sync	 403	 796	 614
SPT-S_J045920-5826.9	  74.837	 -58.449	   1.28	   1.55	   0.70	   0.98	   0.49	   3.13	  10.01	   0.87	   1.03	   0.49	   5.1	   0.9	   2.7	   2.5	   0.39	sync	  64	2110	 760
SPT-S_J045920-5759.2	  74.837	 -57.987	   3.12	   3.78	   0.40	   0.61	   0.24	   1.65	   5.29	   0.76	   1.92	   0.58	   0.9	   1.7	   2.3	   3.0	   0.50	sync	 307	 721	 728
SPT-S_J045921-5339.7	  74.839	 -53.662	   1.16	   1.46	   0.68	   0.98	   0.48	   3.46	  11.56	   0.90	   1.08	   0.52	   5.6	   1.0	   2.6	   2.5	   0.42	sync	 375	 852	1104
SPT-S_J045921-5510.8	  74.841	 -55.180	   3.46	   4.35	   0.31	   0.43	   0.17	   0.00	  -0.42	   0.44	   0.94	   0.31	   NaN	   0.6	   2.8	   2.5	   0.36	sync	 300	 661	1561
SPT-S_J045922-5407.9	  74.843	 -54.132	   0.30	   0.37	   0.43	   0.65	   0.28	   3.16	  10.58	   0.70	   0.85	   0.40	   9.1	   1.7	   2.2	   2.7	   0.51	dust	 133	 331	 587
SPT-S_J045922-5418.5	  74.845	 -54.308	   1.59	   2.00	   0.88	   1.17	   0.63	   3.22	  10.77	   0.98	   1.09	   0.57	   4.6	   0.5	   2.8	   2.3	   0.35	sync	 295	 152	1028
SPT-S_J045923-5352.8	  74.848	 -53.881	   0.02	   0.02	   0.40	   0.59	   0.26	   3.46	  11.56	   0.68	   0.89	   0.37	  17.2	   1.9	   2.1	   2.7	   0.54	dust	 184	 569	 317
SPT-S_J045931-5821.4	  74.882	 -58.357	   0.92	   1.11	   0.68	   0.95	   0.46	   4.29	  13.74	   1.02	   1.55	   0.62	   6.8	   1.6	   2.3	   2.7	   0.50	sync	 284	1828	 886
SPT-S_J045932-5401.7	  74.884	 -54.030	   0.87	   1.09	   0.58	   0.85	   0.39	   3.49	  11.69	   0.82	   1.05	   0.46	   6.5	   1.3	   2.5	   2.6	   0.45	sync	 445	 659	 240
SPT-S_J045935-5638.8	  74.897	 -56.647	   2.10	   2.64	   1.30	   1.35	   0.91	   3.16	  10.58	   1.16	   1.19	   0.65	   3.8	  -0.2	   2.9	   2.0	   0.26	sync	 295	1097	1175
SPT-S_J045939-5405.9	  74.916	 -54.099	   4.01	   5.04	   0.36	   0.85	   0.21	   0.00	  -1.63	   0.51	   1.17	   0.36	   NaN	   0.2	   2.9	   2.2	   0.31	sync	 223	 524	 496
SPT-S_J045943-5912.4	  74.933	 -59.207	   1.77	   2.14	   1.03	   1.18	   0.72	   3.34	  10.68	   1.07	   1.20	   0.60	   4.4	   0.4	   2.8	   2.2	   0.33	sync	 181	1014	 615
SPT-S_J045945-5847.4	  74.938	 -58.791	   0.49	   0.59	   0.47	   0.69	   0.30	   3.30	  10.56	   0.74	   0.93	   0.42	   7.8	   1.7	   2.3	   2.7	   0.50	sync	  46	1226	 485
SPT-S_J045946-5840.1	  74.942	 -58.669	   3.28	   3.98	   0.30	   0.37	   0.16	   0.00	  -1.01	   0.41	   0.82	   0.28	   NaN	   0.5	   2.8	   2.4	   0.35	sync	 211	1580	  84
SPT-S_J045947-5523.8	  74.949	 -55.397	   3.07	   3.86	   0.33	   0.41	   0.18	   0.88	   2.94	   0.52	   1.18	   0.38	  -0.7	   1.2	   2.6	   2.8	   0.43	sync	  41	 767	1776
SPT-S_J045948-5800.3	  74.952	 -58.006	   3.39	   4.11	   1.31	   2.11	   0.96	   3.00	   9.62	   4.12	   4.87	   3.46	   2.3	   2.9	   1.5	   2.5	   0.70	dust	 279	 764	 841
SPT-S_J045948-5333.3	  74.953	 -53.556	   3.22	   4.05	   0.30	   0.38	   0.16	   0.00	  -0.09	   0.43	   0.88	   0.30	   NaN	   0.7	   2.8	   2.5	   0.37	sync	 512	1301	 949
SPT-S_J045949-5529.8	  74.957	 -55.498	   2.48	   3.12	   1.79	   1.41	   1.20	   3.30	  11.03	   1.38	   1.37	   0.72	   3.4	  -0.6	   2.8	   1.7	   0.21	sync	 326	 533	1586
SPT-S_J045951-5242.8	  74.964	 -52.714	   2.61	   3.28	   1.94	   1.41	   1.28	   3.13	  10.48	   1.39	   1.30	   0.71	   3.2	  -0.8	   2.7	   1.6	   0.18	sync	 414	1488	1276
SPT-S_J045951-5303.2	  74.965	 -53.054	   0.20	   0.25	   0.45	   0.66	   0.29	   3.89	  13.00	   0.77	   1.02	   0.44	  10.7	   1.9	   2.1	   2.7	   0.54	dust	 278	 471	 723
SPT-S_J045953-5717.3	  74.971	 -57.290	   1.46	   1.84	   0.81	   1.12	   0.57	   3.37	  11.27	   0.96	   1.12	   0.55	   4.9	   0.7	   2.8	   2.4	   0.37	sync	 164	 454	 847
SPT-S_J045953-5630.3	  74.973	 -56.505	   0.82	   1.03	   0.57	   0.86	   0.38	   3.59	  12.02	   0.85	   1.06	   0.50	   6.7	   1.4	   2.4	   2.7	   0.46	sync	 350	1178	1394
SPT-S_J045957-5102.4	  74.989	 -51.041	   3.12	   4.08	   0.30	   0.37	   0.16	   0.28	   0.98	   0.44	   0.96	   0.31	  -3.9	   0.9	   2.7	   2.6	   0.39	sync	  90	 541	 103
SPT-S_J045959-5703.1	  74.998	 -57.052	   0.75	   0.94	   0.52	   0.78	   0.36	   3.03	  10.13	   0.75	   0.89	   0.42	   6.5	   1.3	   2.5	   2.6	   0.45	sync	 127	 819	1213
SPT-S_J050000-5752.5	  75.000	 -57.875	  44.01	  53.28	  52.99	   2.50	   2.50	  15.15	  48.52	  47.80	   5.39	   5.39	  -0.3	  -0.3	   0.3	   0.3	   0.00	sync	   3	 313	 486
SPT-S_J050003-5229.0	  75.015	 -52.485	   5.33	   6.70	   5.91	   1.38	   1.47	   2.15	   7.20	   5.57	   2.88	   2.47	   0.2	   0.0	   1.4	   1.7	   0.08	sync	  18	 923	1979
SPT-S_J050005-5013.1	  75.023	 -50.220	   0.00	  -1.71	   0.26	   0.39	   0.16	   3.00	  10.39	   0.56	   0.66	   0.29	   NaN	   2.4	   1.8	   2.6	   0.63	dust	 267	 624	 612
SPT-S_J050006-5746.5	  75.026	 -57.776	   3.29	   3.99	   0.47	   0.89	   0.28	   1.88	   6.03	   0.98	   2.52	   0.76	   1.1	   1.9	   2.2	   3.0	   0.52	dust	 362	 178	 413
SPT-S_J050006-5803.9	  75.027	 -58.065	   3.49	   4.23	   0.35	   0.52	   0.20	   0.44	   1.42	   0.53	   1.19	   0.37	  -3.0	   0.8	   2.8	   2.6	   0.39	sync	 223	 989	 802
SPT-S_J050006-5819.0	  75.028	 -58.317	   3.70	   4.48	   0.41	   0.84	   0.24	   0.76	   2.44	   0.67	   1.56	   0.50	  -1.7	   0.8	   2.8	   2.6	   0.40	sync	 392	1524	 871
SPT-S_J050008-5424.5	  75.036	 -54.409	   0.47	   0.59	   0.48	   0.69	   0.32	   3.22	  10.78	   0.74	   0.89	   0.40	   7.9	   1.6	   2.3	   2.7	   0.49	sync	 243	 519	 966
SPT-S_J050008-5442.8	  75.036	 -54.715	   0.00	  -1.03	   0.31	   0.41	   0.20	   3.15	  10.54	   0.58	   0.73	   0.30	   NaN	   2.3	   1.9	   2.7	   0.60	dust	 601	 497	 357
SPT-S_J050008-5408.1	  75.036	 -54.136	   0.09	   0.12	   0.40	   0.59	   0.25	   3.12	  10.44	   0.68	   0.82	   0.37	  12.3	   1.8	   2.2	   2.7	   0.53	dust	 135	 603	 733
SPT-S_J050009-5930.6	  75.038	 -59.511	   3.89	   4.71	   0.77	   2.75	   0.52	   1.78	   5.71	   1.64	   3.11	   1.34	   0.5	   1.3	   2.5	   2.6	   0.43	sync	  18	 365	 517
SPT-S_J050009-5405.4	  75.039	 -54.090	   3.09	   3.88	   0.32	   0.39	   0.17	   0.61	   2.04	   0.48	   1.07	   0.34	  -1.8	   1.0	   2.7	   2.7	   0.42	sync	 300	 665	 608
SPT-S_J050010-5632.5	  75.043	 -56.543	   3.02	   3.80	   0.30	   0.36	   0.16	   0.19	   0.65	   0.43	   0.90	   0.30	  -4.8	   0.8	   2.7	   2.6	   0.39	sync	 219	1308	1201
SPT-S_J050011-5854.4	  75.050	 -58.907	   0.00	  -1.92	   0.26	   0.34	   0.15	   3.17	  10.15	   0.54	   0.69	   0.27	   NaN	   2.6	   1.7	   2.5	   0.66	dust	 258	1146	 584
SPT-S_J050012-5526.2	  75.051	 -55.437	   0.79	   1.00	   0.58	   0.86	   0.40	   3.79	  12.67	   0.87	   1.12	   0.50	   6.9	   1.5	   2.4	   2.7	   0.47	sync	 210	 584	1523
SPT-S_J050012-5732.0	  75.052	 -57.534	   0.92	   1.11	   0.60	   0.89	   0.39	   3.61	  11.58	   0.88	   1.11	   0.50	   6.4	   1.4	   2.4	   2.6	   0.46	sync	 396	 514	 935
SPT-S_J050012-5141.2	  75.053	 -51.688	   0.00	  -1.09	   0.30	   0.45	   0.19	   3.17	  10.97	   0.59	   0.74	   0.31	   NaN	   2.3	   1.9	   2.7	   0.59	dust	 376	 529	 612
SPT-S_J050016-5150.6	  75.067	 -51.844	   0.04	   0.05	   0.40	   0.62	   0.25	   3.55	  12.29	   0.70	   0.90	   0.39	  14.9	   1.9	   2.2	   2.7	   0.54	dust	 270	 928	  49
SPT-S_J050017-5809.3	  75.071	 -58.156	   3.10	   3.75	   0.35	   0.47	   0.19	   1.23	   3.95	   0.61	   1.41	   0.44	   0.1	   1.4	   2.5	   2.9	   0.45	sync	 455	1151	 621
SPT-S_J050017-5706.6	  75.072	 -57.111	   3.32	   4.17	   0.32	   0.45	   0.18	   0.45	   1.49	   0.50	   1.09	   0.35	  -2.8	   0.9	   2.7	   2.7	   0.40	sync	 293	 565	1293
SPT-S_J050017-5534.8	  75.075	 -55.581	   1.19	   1.49	   0.65	   0.98	   0.45	   3.12	  10.43	   0.85	   1.00	   0.49	   5.3	   0.9	   2.7	   2.5	   0.40	sync	 439	 482	1262
SPT-S_J050018-5238.0	  75.075	 -52.634	   0.93	   1.17	   0.61	   0.89	   0.42	   3.54	  11.85	   0.86	   1.07	   0.49	   6.3	   1.3	   2.5	   2.6	   0.44	sync	 265	1473	1430
SPT-S_J050019-5321.3	  75.081	 -53.356	  39.42	  49.52	  49.26	   2.32	   2.41	  10.82	  36.21	  35.52	   4.64	   4.64	  -0.9	  -0.9	   0.3	   0.4	   0.00	sync	   4	 627	 189
SPT-S_J050019-5734.8	  75.083	 -57.582	   3.01	   3.64	   0.29	   0.34	   0.15	   0.00	  -0.32	   0.41	   0.81	   0.28	   NaN	   0.7	   2.8	   2.5	   0.37	sync	 247	 502	 899
